child_name,month,ts,dimension,qid_parent,qid_teen,qid_canon,qtext_parent,qtext_teen,type_parent,type_teen,value_parent,value_teen,label_parent,label_teen,free_parent,free_teen,qtext_parent_norm,qtext_teen_norm
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Approach-Avoidance Style,P_PSI_AAS7,PSI_AAS7,psi_aas7,he/she prefers to solve problems quickly rather than carefully.,I prefer to solve problems quickly rather than carefully.,free_text,multiple_choice,,2.0,,Disagree,"I'm maybe a bit anxious, but I'm also trying to be positive.",,he she prefers to solve problems quickly rather than carefully,i prefer to solve problems quickly rather than carefully
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Behavioral Manifestation,P_BM_5_TABLE1,BM_5_TABLE1,bm_5_table1,he/she is able to help others when needed.,I am able to help others when needed.,free_text,multiple_choice,,4.0,,Agree,"I'm sometimes unsure, but I'm also trying to find a solution.",,he she is able to help others when needed,i am able to help others when needed
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Reflective Observation,P_LSI_RO3,LSI_RO3,lsi_ro3,he/she prefers to watch and listen before participating in activities.,I prefer to watch and listen before participating in activities.,free_text,multiple_choice,,1.0,,Strongly disagree,"I'm sometimes unsure, but I'm also trying to find a solution.",,he she prefers to watch and listen before participating in activities,i prefer to watch and listen before participating in activities
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Perseverance of Effort,P_GritS_1,GritS_1,grits_1,he/she has overcome setbacks to conquer an important challenge.,I have overcome setbacks to conquer an important challenge.,free_text,multiple_choice,,4.0,,Mostly like me,"I'm sometimes unsure, but I'm also trying to find a solution.",,he she has overcome setbacks to conquer an important challenge,i have overcome setbacks to conquer an important challenge
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Cognitive Skills,P_PS_7_WCST,PS_7_WCST,ps_7_wcst,he/she is good at using problem-solving skills to solve real-life problems.,I am good at using problem-solving skills to solve real-life problems.,multiple_choice,free_text,3.0,,Neutral,,,"I'm maybe a bit anxious, but I'm also trying to be positive.",he she is good at using problem solving skills to solve real life problems,i am good at using problem solving skills to solve real life problems
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Behavioral Manifestation,P_BM_7_TABLE1,BM_7_TABLE1,bm_7_table1,he/she is able to follow rules and regulations.,I am able to follow rules and regulations.,multiple_choice,free_text,3.0,,Neutral,,,"I'm maybe a bit anxious, but I'm also trying to be positive.",he she is able to follow rules and regulations,i am able to follow rules and regulations
Alex Chen,2025-01,2025-01-15 11:27:57.116655,BAS Fun Seeking,P_BAS_9,BAS_9,bas_9,he/she will often does things for no other reason than that they might be fun.,I will often do things for no other reason than that they might be fun.,multiple_choice,multiple_choice,1.0,4.0,Very true for me,Very false for me,,,he she will often does things for no other reason than that they might be fun,i will often do things for no other reason than that they might be fun
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Analysis,P_CTQ_14,CTQ_14,ctq_14,he/she can recognize when information is missing or incomplete.,I can recognize when information is missing or incomplete.,free_text,free_text,,,,,"I'm sometimes unsure, but I'm also trying to find a solution.","I'm maybe a bit anxious, but I'm also trying to be positive.",he she can recognize when information is missing or incomplete,i can recognize when information is missing or incomplete
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Leadership,P_MLQ_TR5,MLQ_TR5,mlq_tr5,he/she keeps track of all mistakes.,I keep track of all mistakes.,multiple_choice,multiple_choice,3.0,3.0,Fairly often,Fairly often,,,he she keeps track of all mistakes,i keep track of all mistakes
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Performance-Avoidance,P_AGQ_10,AGQ_10,agq_10,he/she is striving to avoid performing worse than others.,I am striving to avoid performing worse than others.,multiple_choice,multiple_choice,3.0,3.0,Neutral,Neutral,,,he she is striving to avoid performing worse than others,i am striving to avoid performing worse than others
Alex Chen,2025-01,2025-01-15 11:27:57.116655,BAS Fun Seeking,P_BAS_10,BAS_10,bas_10,It's hard for him/her to find the time to does things that aren't necessary.,It's hard for me to find the time to do things that aren't necessary.,multiple_choice,multiple_choice,3.0,4.0,Somewhat false for me,Very false for me,,,it s hard for him her to find the time to does things that aren t necessary,it s hard for me to find the time to do things that aren t necessary
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Peer Relationship Problems,P_SDQ_23,SDQ_23,sdq_23,he/she gets along better with adults than with people his/her own age.,I get along better with adults than with people my own age.,multiple_choice,multiple_choice,2.0,1.0,Somewhat true,Not true,,,he she gets along better with adults than with people his her own age,i get along better with adults than with people my own age
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Behavioral Manifestation,P_BM_8,BM_8,bm_8,he/she is able to take initiative in group activities.,I am able to take initiative in group activities.,multiple_choice,multiple_choice,3.0,4.0,Neutral,Agree,,,he she is able to take initiative in group activities,i am able to take initiative in group activities
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Negative Affect,P_PANAS_NA1,PANAS_NA1,panas_na1,he/she is distressed,Distressed,free_text,multiple_choice,,4.0,,Quite a bit,"I'm sometimes unsure, but I'm also trying to find a solution.",,he she is distressed,distressed
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Empathy,P_IRI_EC3,IRI_EC3,iri_ec3,he/she sometimes feels helpless when he/she is in the middle of a very emotional situation.,I sometimes feel helpless when I am in the middle of a very emotional situation.,multiple_choice,free_text,4.0,,Describes him/her very well,,,"I'm feeling quite neutral about this, but I'm open to discussing it.",he she sometimes feels helpless when he she is in the middle of a very emotional situation,i sometimes feel helpless when i am in the middle of a very emotional situation
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Executive Function,P_EF_8,EF_8,ef_8,he/she can adapt to changes in executive functioning.,I can adapt to changes in executive functioning.,multiple_choice,multiple_choice,2.0,4.0,Disagree,Agree,,,he she can adapt to changes in executive functioning,i can adapt to changes in executive functioning
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Analysis,P_CTQ_6,CTQ_6,ctq_6,he/she can identify relevant and irrelevant information when solving a problem.,I can identify relevant and irrelevant information when solving a problem.,multiple_choice,multiple_choice,5.0,4.0,Strongly agree,Agree,,,he she can identify relevant and irrelevant information when solving a problem,i can identify relevant and irrelevant information when solving a problem
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Emotional Stability,P_EPQ_9,EPQ_9,epq_9,he/she is easily upset by things.,I am easily upset by things.,free_text,multiple_choice,,4.0,,Strongly agree,"I'm feeling quite neutral about this, but I'm open to discussing it.",,he she is easily upset by things,i am easily upset by things
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Problem-Solving Confidence,P_PSI_PSC10,PSI_PSC10,psi_psc10,he/she has confidence in his/her problem-solving abilities.,I have confidence in my problem-solving abilities.,free_text,multiple_choice,,1.0,,Strongly disagree,"I'm sometimes unsure, but I'm also trying to find a solution.",,he she has confidence in his her problem solving abilities,i have confidence in my problem solving abilities
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Performance-Approach,P_AGQ_9,AGQ_9,agq_9,he/she wants to does well to show his/her ability to others.,I want to do well to show my ability to others.,multiple_choice,multiple_choice,5.0,5.0,Strongly agree,Strongly agree,,,he she wants to does well to show his her ability to others,i want to do well to show my ability to others
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Emotional Stability,P_EPQ_8,EPQ_8,epq_8,he/she is easily embarrassed.,I am easily embarrassed.,multiple_choice,multiple_choice,1.0,2.0,Strongly disagree,Disagree,,,he she is easily embarrassed,i am easily embarrassed
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Self-Control,P_SC_5,SC_5,sc_5,he/she is able to avoid distractions when working on tasks.,I am able to avoid distractions when working on tasks.,multiple_choice,multiple_choice,2.0,3.0,Disagree,Neutral,,,he she is able to avoid distractions when working on tasks,i am able to avoid distractions when working on tasks
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Analysis,P_CTQ_13,CTQ_13,ctq_13,he/she can break down complex problems into smaller parts.,I can break down complex problems into smaller parts.,multiple_choice,multiple_choice,5.0,2.0,Strongly agree,Disagree,,,he she can break down complex problems into smaller parts,i can break down complex problems into smaller parts
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Executive Function,P_EF_3,EF_3,ef_3,he/she is confident in his/her executive functioning abilities.,I am confident in my executive functioning abilities.,multiple_choice,multiple_choice,4.0,4.0,Agree,Agree,,,he she is confident in his her executive functioning abilities,i am confident in my executive functioning abilities
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Self-Control,P_SC_1_SELFREG,SC_1_SELFREG,sc_1_selfreg,He/She is able to resist temptations.,I am able to resist temptations.,multiple_choice,multiple_choice,3.0,3.0,Neutral,Neutral,,,he she is able to resist temptations,i am able to resist temptations
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Executive Function,P_EF_9,EF_9,ef_9,he/she has clear goals in executive functioning.,I have clear goals in executive functioning.,free_text,multiple_choice,,5.0,,Strongly agree,"I'm maybe a bit anxious, but I'm also trying to be positive.",,he she has clear goals in executive functioning,i have clear goals in executive functioning
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Cognitive Skills,P_CCTDI_26,CCTDI_26,cctdi_26,he/she is confident in his/her ability to make sound judgments.,I am confident in my ability to make sound judgments.,multiple_choice,multiple_choice,4.0,4.0,Agree,Agree,,,he she is confident in his her ability to make sound judgments,i am confident in my ability to make sound judgments
Alex Chen,2025-01,2025-01-15 11:27:57.116655,General,P_ADD_FT_001,T_ADD_FT_001,add_ft_001,Is there anything else you would like to share about your child?,Is there anything else you would like to share about yourself?,free_text,free_text,,,,,"My child is generally happy and healthy, but I notice a slight decline in his mood.",I'm worried about my grades. I've been struggling in my classes.,is there anything else you would like to share about your child,is there anything else you would like to share about yourself
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Performance-Approach,P_AGQ_6,AGQ_6,agq_6,his/her goal is to perform better than the other students.,My goal is to perform better than the other students.,multiple_choice,multiple_choice,4.0,2.0,Agree,Disagree,,,his her goal is to perform better than the other students,my goal is to perform better than the other students
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Creativity,P_CT_4,CT_4,ct_4,he/she is able to generate multiple solutions to problems.,I am able to generate multiple solutions to problems.,multiple_choice,multiple_choice,4.0,2.0,Agree,Disagree,,,he she is able to generate multiple solutions to problems,i am able to generate multiple solutions to problems
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Regulation of Cognition,P_MAI_RC7,MAI_RC7,mai_rc7,he/she adjusts his/her learning strategies based on feedback.,I adjust my learning strategies based on feedback.,multiple_choice,multiple_choice,4.0,3.0,Agree,Neutral,,,he she adjusts his her learning strategies based on feedback,i adjust my learning strategies based on feedback
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Performance-Avoidance,P_AGQ_7,AGQ_7,agq_7,his/her aim is to avoid doing worse than other students.,My aim is to avoid doing worse than other students.,multiple_choice,multiple_choice,5.0,5.0,Strongly agree,Strongly agree,,,his her aim is to avoid doing worse than other students,my aim is to avoid doing worse than other students
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Reflective Observation,P_LSI_RO2,LSI_RO2,lsi_ro2,he/she likes to take time to thinks things through before acting.,I like to take time to think things through before acting.,multiple_choice,multiple_choice,1.0,2.0,Strongly disagree,Disagree,,,he she likes to take time to thinks things through before acting,i like to take time to think things through before acting
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Perseverance of Effort,P_GritS_7,GritS_7,grits_7,he/she finishes whatever he/she begins.,I finish whatever I begin.,multiple_choice,multiple_choice,1.0,2.0,Not at all like me,Not much like me,,,he she finishes whatever he she begins,i finish whatever i begin
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Creativity,P_CT_10,CT_10,ct_10,he/she is able to express his/her ideas clearly.,I am able to express my ideas clearly.,free_text,multiple_choice,,1.0,,Strongly disagree,"I'm feeling quite neutral about this, but I'm open to discussing it.",,he she is able to express his her ideas clearly,i am able to express my ideas clearly
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Leadership,P_MLQ_TL1,MLQ_TL1,mlq_tl1,he/she talk about his/her most important values and beliefs.,I talk about my most important values and beliefs.,multiple_choice,multiple_choice,4.0,0.0,"Frequently, if not always",Not at all,,,he she talk about his her most important values and beliefs,i talk about my most important values and beliefs
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Performance-Approach,P_AGQ_5,AGQ_5,agq_5,He/She thinks it is important for him/her to does better than other students.,It is important for me to do better than other students.,multiple_choice,free_text,2.0,,Disagree,,,"I'm maybe a bit anxious, but I'm also trying to be positive.",he she thinks it is important for him her to does better than other students,it is important for me to do better than other students
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Peer Relationship Problems,P_SDQ_6,SDQ_6,sdq_6,he/she is usually on his/her own. he/she generally plays alone or keeps to himself/herself.,I am usually on my own. I generally play alone or keep to myself.,multiple_choice,multiple_choice,1.0,2.0,Not true,Somewhat true,,,he she is usually on his her own he she generally plays alone or keeps to himself herself,i am usually on my own i generally play alone or keep to myself
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Perseverance of Effort,P_GritS_3,GritS_3,grits_3,Setbacks doesn't discourage him/her.,Setbacks don't discourage me.,multiple_choice,multiple_choice,3.0,1.0,Somewhat like me,Not at all like me,,,setbacks doesn t discourage him her,setbacks don t discourage me
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Emotional Stability,P_EPQ_6,EPQ_6,epq_6,he/she is easily hurt by criticism.,I am easily hurt by criticism.,multiple_choice,multiple_choice,1.0,4.0,Strongly disagree,Strongly agree,,,he she is easily hurt by criticism,i am easily hurt by criticism
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Compromising,P_CO_6,CO_6,co_6,he/she tries to find a compromise solution.,I try to find a compromise solution.,multiple_choice,multiple_choice,2.0,2.0,Disagree,Disagree,,,he she tries to find a compromise solution,i try to find a compromise solution
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Problem-Solving Confidence,P_PSI_PSC4,PSI_PSC4,psi_psc4,he/she has a systematic method for solving problems.,I have a systematic method for solving problems.,multiple_choice,free_text,5.0,,Strongly agree,,,"I'm sometimes unsure, but I'm also trying to find a solution.",he she has a systematic method for solving problems,i have a systematic method for solving problems
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Regulation of Cognition,P_MAI_RC4,MAI_RC4,mai_rc4,he/she checks his/her understanding as he/she reads.,I check my understanding as I read.,multiple_choice,multiple_choice,1.0,3.0,Strongly disagree,Neutral,,,he she checks his her understanding as he she reads,i check my understanding as i read
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Problem-Solving Confidence,P_PSI_PSC8,PSI_PSC8,psi_psc8,he/she feels capable of handling most problems that come his/her way.,I feel capable of handling most problems that come my way.,multiple_choice,multiple_choice,4.0,1.0,Agree,Strongly disagree,,,he she feels capable of handling most problems that come his her way,i feel capable of handling most problems that come my way
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Leadership,P_MLQ_TL5,MLQ_TL5,mlq_tl5,he/she instills pride in others for being associated with him/her.,I instill pride in others for being associated with me.,multiple_choice,multiple_choice,3.0,4.0,Fairly often,"Frequently, if not always",,,he she instills pride in others for being associated with him her,i instill pride in others for being associated with me
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Emotional Regulation,,T_EMO_FT_001,emo_ft_001,,How do you typically handle stressful situations?,,free_text,,,,,,"I usually talk to my friends or family when I'm stressed, which helps me feel better.",,how do you typically handle stressful situations
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Social Skills,,T_SOC_FT_001,soc_ft_001,,How do you feel about your social relationships?,,free_text,,,,,,I prefer smaller groups and one-on-one interactions.,,how do you feel about your social relationships
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Behavior Management,P_BEH_FT_001,,beh_ft_001,What are the biggest challenges in parenting your child?,,free_text,,,,,,Balancing discipline with understanding their emotional needs.,,what are the biggest challenges in parenting your child,
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Imagination,P_IM_7_TTCT,IM_7_TTCT,im_7_ttct,"he/she is able to use his/her imagination to create art, music, or stories.","I am able to use my imagination to create art, music, or stories.",multiple_choice,multiple_choice,3.0,1.0,Neutral,Strongly disagree,,,he she is able to use his her imagination to create art music or stories,i am able to use my imagination to create art music or stories
Alex Chen,2025-02,2025-02-20 11:27:57.150033,BAS Drive,P_BAS_3,BAS_3,bas_3,he/she goes out of his/her way to get things he/she wants.,I go out of my way to get things I want.,multiple_choice,multiple_choice,4.0,2.0,Very false for me,Somewhat true for me,,,he she goes out of his her way to get things he she wants,i go out of my way to get things i want
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Anger Management,P_CEMS_A_3,CEMS_A_3,cems_a_3,"When he/she is mad, he/she keeps his/her feelings to himself/herself.","When I am mad, I keep my feelings to myself.",multiple_choice,free_text,3.0,,Often,,,"I'm sometimes unsure, but I'm also trying to find a solution.",when he she is mad he she keeps his her feelings to himself herself,when i am mad i keep my feelings to myself
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Concrete Experience,P_LSI_CE3,LSI_CE3,lsi_ce3,he/she prefers to learn through hands-on activities and real experiences.,I prefer to learn through hands-on activities and real experiences.,multiple_choice,free_text,3.0,,Neutral,,,"I'm feeling quite neutral about this, but I'm open to discussing it.",he she prefers to learn through hands on activities and real experiences,i prefer to learn through hands on activities and real experiences
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Care,P_PBI_C3,PBI_C3,pbi_c3,He/She seemed emotionally cold to me.,My parents seemed emotionally cold to me.,free_text,multiple_choice,,1.0,,Very unlike,"I'm maybe a bit anxious, but I'm also trying to be positive.",,he she seemed emotionally cold to me,my parents seemed emotionally cold to me
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Daily Living Skills,P_DLS_2,DLS_2,dls_2,"He/She manages personal hygiene (e.g., brushing teeth, bathing) without reminders.","Manages personal hygiene (e.g., brushing teeth, bathing) without reminders.",free_text,multiple_choice,,3.0,,Neutral,"I'm feeling quite neutral about this, but I'm open to discussing it.",,he she manages personal hygiene e g brushing teeth bathing without reminders,manages personal hygiene e g brushing teeth bathing without reminders
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Systematicity,P_SY_1,SY_1,sy_1,he/she approaches problems in a systematic way.,I approach problems in a systematic way.,multiple_choice,multiple_choice,5.0,5.0,Strongly agree,Strongly agree,,,he she approaches problems in a systematic way,i approach problems in a systematic way
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Abstract Conceptualization,P_LSI_AC2,LSI_AC2,lsi_ac2,he/she prefers to learn by thinking about ideas and theories.,I prefer to learn by thinking about ideas and theories.,multiple_choice,free_text,4.0,,Agree,,,"I'm sometimes unsure, but I'm also trying to find a solution.",he she prefers to learn by thinking about ideas and theories,i prefer to learn by thinking about ideas and theories
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Attitude,P_LASSI_27,LASSI_27,lassi_27,he/she believes that doing well in school is important.,I believe that doing well in school is important.,multiple_choice,multiple_choice,1.0,5.0,Not at all typical of me,Very much typical of me,,,he she believes that doing well in school is important,i believe that doing well in school is important
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Abstract Conceptualization,P_LSI_AC3,LSI_AC3,lsi_ac3,he/she enjoys analyzing problems and finding systematic solutions.,I enjoy analyzing problems and finding systematic solutions.,multiple_choice,multiple_choice,3.0,4.0,Neutral,Agree,,,he she enjoys analyzing problems and finding systematic solutions,i enjoy analyzing problems and finding systematic solutions
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Open-mindedness,P_CCTDI_4,CCTDI_4,cctdi_4,he/she is open to considering alternative explanations.,I am open to considering alternative explanations.,free_text,multiple_choice,,4.0,,Agree,"I'm maybe a bit anxious, but I'm also trying to be positive.",,he she is open to considering alternative explanations,i am open to considering alternative explanations
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Cooperation,P_SSRS_C_9,SSRS_C_9,ssrs_c_9,He/She waits for turn in games or activities.,Waits for turn in games or activities.,multiple_choice,multiple_choice,2.0,2.0,Sometimes,Sometimes,,,he she waits for turn in games or activities,waits for turn in games or activities
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Concrete Experience,P_LSI_CE1,LSI_CE1,lsi_ce1,he/she learns best when he/she can be directly involved in the experience.,I learn best when I can be directly involved in the experience.,multiple_choice,free_text,4.0,,Agree,,,"I'm sometimes unsure, but I'm also trying to find a solution.",he she learns best when he she can be directly involved in the experience,i learn best when i can be directly involved in the experience
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Self-Testing,P_LASSI_17,LASSI_17,lassi_17,he/she reviews his/her notes before taking tests.,I review my notes before taking tests.,multiple_choice,multiple_choice,2.0,2.0,Not very typical of me,Not very typical of me,,,he she reviews his her notes before taking tests,i review my notes before taking tests
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Analyticity,P_CCTDI_10,CCTDI_10,cctdi_10,he/she enjoys solving problems that require careful thought.,I enjoy solving problems that require careful thought.,multiple_choice,multiple_choice,4.0,1.0,Agree,Strongly disagree,,,he she enjoys solving problems that require careful thought,i enjoy solving problems that require careful thought
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Resilience,P_CDRISC_9,CDRISC_9,cdrisc_9,he/she believes things will change for the better.,I believe things will change for the better.,multiple_choice,multiple_choice,,,Not true at all,Sometimes true,,,he she believes things will change for the better,i believe things will change for the better
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Conflict,P_FES_9,FES_9,fes_9,Family members sometimes hit each other.,Family members sometimes hit each other.,multiple_choice,free_text,3.0,,Agree,,,"I'm feeling quite neutral about this, but I'm open to discussing it.",family members sometimes hit each other,family members sometimes hit each other
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Conflict,P_FES_15,FES_15,fes_15,Family members sometimes get so angry they yell at each other.,Family members sometimes get so angry they yell at each other.,multiple_choice,multiple_choice,2.0,1.0,Disagree,Strongly disagree,,,family members sometimes get so angry they yell at each other,family members sometimes get so angry they yell at each other
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Daily Living Skills,P_DLS_10,DLS_10,dls_10,he/she makes efforts to develop daily living skills.,I make efforts to develop daily living skills.,multiple_choice,multiple_choice,1.0,1.0,Strongly disagree,Strongly disagree,,,he she makes efforts to develop daily living skills,i make efforts to develop daily living skills
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Resilience,P_CDRISC_4,CDRISC_4,cdrisc_4,he/she can deal with unpleasant feelings.,I can deal with unpleasant feelings.,multiple_choice,multiple_choice,,,Sometimes true,Almost always true,,,he she can deal with unpleasant feelings,i can deal with unpleasant feelings
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Care,P_PBI_C6,PBI_C6,pbi_c6,He/She thinks we did not help him/her as much as he/she needed.,My parents did not help me as much as I needed.,multiple_choice,multiple_choice,5.0,5.0,Very like,Very like,,,he she thinks we did not help him her as much as he she needed,my parents did not help me as much as i needed
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Concrete Experience,P_LSI_CE2,LSI_CE2,lsi_ce2,he/she relies on his/her feelings when making decisions about learning.,I rely on my feelings when making decisions about learning.,multiple_choice,free_text,2.0,,Disagree,,,"I'm maybe a bit anxious, but I'm also trying to be positive.",he she relies on his her feelings when making decisions about learning,i rely on my feelings when making decisions about learning
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Anger Management,P_CEMS_A_1,CEMS_A_1,cems_a_1,"When he/she is feeling mad, he/she control his/her temper.","When I am feeling mad, I control my temper.",multiple_choice,multiple_choice,3.0,3.0,Often,Often,,,when he she is feeling mad he she control his her temper,when i am feeling mad i control my temper
Alex Chen,2025-02,2025-02-20 11:27:57.150033,Regulation of Cognition,P_MAI_RC2,MAI_RC2,mai_rc2,he/she asks himself/herself questions about the material before he/she begins.,I ask myself questions about the material before I begin.,free_text,multiple_choice,,1.0,,Strongly disagree,"I'm maybe a bit anxious, but I'm also trying to be positive.",,he she asks himself herself questions about the material before he she begins,i ask myself questions about the material before i begin
